yearMonth,ProductID,ProductName,salesAmount,percentage_change
1996-08,17,Alice Mutton,936.0,0.0
1996-08,3,Aniseed Syrup,240.0,
1996-08,40,Boston Crab Meat,1470.0,100.0
1996-08,60,Camembert Pierrot,2067.2,90.0
1996-08,18,Carnarvon Tigers,600.0,
1996-08,1,Chai,907.2,
1996-08,5,Chef Anton's Gumbo Mix,340.0,-74.03
1996-08,71,Flotemysost,344.0,
1996-08,33,Geitost,88.0,-48.24
1996-08,15,Genen Shouyu,248.0,
1996-08,31,Gorgonzola Telino,550.0,175.0
1996-08,24,Guaran Fantstica,144.0,-6.98
1996-08,44,Gula Malacca,945.5,
1996-08,10,Ikura,967.2,
1996-08,36,Inlagd Sill,456.0,20.0
1996-08,43,Ipoh Coffee,1472.0,
1996-08,13,Konbu,144.0,
1996-08,76,Lakkalikri,475.2,120.0
1996-08,67,Laughing Lumberjack Lager,56.0,
1996-08,51,Manjimup Dried Apples,84.8,-97.33
1996-08,49,Maxilaku,240.0,-62.5
1996-08,72,Mozzarella di Giovanni,945.2,12.36
1996-08,30,Nord-Ost Matjeshering,124.2,-90.0
1996-08,77,Original Frankfurter grne Soe,104.0,-62.96
1996-08,16,Pavlova,556.0,-57.89
1996-08,53,Perth Pasties,943.2,140.0
1996-08,55,Pt chinois,384.0,-4.76
1996-08,59,Raclette Courdavault,924.0,-79.0
1996-08,57,Ravioli Angelo,31.2,-96.92
1996-08,73,Rd Kaviar,300.0,
1996-08,75,Rhnbru Klosterbier,260.4,
1996-08,28,Rssle Sauerkraut,728.0,
1996-08,34,Sasquatch Ale,224.0,
1996-08,27,Schoggi Schokolade,526.5,-40.0
1996-08,68,Scottish Longbreads,30.0,
1996-08,20,Sir Rodney's Marmalade,1684.8,-35.0
1996-08,46,Spegesild,144.0,
1996-08,35,Steeleye Stout,1497.6,420.0
1996-08,62,Tarte au sucre,2048.8,246.67
1996-08,19,Teatime Chocolate Biscuits,138.7,
1996-08,29,Thringer Rostbratwurst,1485.0,50.0
1996-08,54,Tourtire,59.0,
1996-08,63,Vegie-spread,456.3,
1996-08,64,Wimmers gute Semmelkndel,239.4,
